,sequence,verbose,loss,fid
7487,"(10, 6, 6, 4, 2)","2-3, 1-2, 1-2, 0-3, 0-1",0.08819250853320333,0.9045039449557861
6323,"(7, 6, 4, 6, 3)","1-3, 1-2, 0-3, 1-2, 0-2",0.08819250853165782,0.9045039449481845
7253,"(10, 4, 4, 6, 2)","2-3, 0-3, 0-3, 1-2, 0-1",0.0881925085306034,0.9045039448197798
7141,"(10, 3, 7, 7, 4)","2-3, 0-2, 1-3, 1-3, 0-3",0.08819250853378373,0.904503944702227
2697,"(3, 4, 6, 6, 7)","0-2, 0-3, 1-2, 1-2, 1-3",0.08819250854119709,0.9045039446482145
7596,"(10, 7, 3, 2, 7)","2-3, 1-3, 0-2, 0-1, 1-3",0.08819250853456047,0.9045039444739771
4526,"(6, 2, 2, 10, 4)","1-2, 0-1, 0-1, 2-3, 0-3",0.08819250853690078,0.9045039444655157
3689,"(4, 3, 7, 3, 2)","0-3, 0-2, 1-3, 0-2, 0-1",0.08819250853087462,0.9045039443852031
3710,"(4, 3, 7, 7, 6)","0-3, 0-2, 1-3, 1-3, 1-2",0.0881925085320706,0.9045039442322825
1710,"(2, 6, 4, 4, 10)","0-1, 1-2, 0-3, 0-3, 2-3",0.08819250852995414,0.9045039442248108
1557,"(2, 4, 6, 4, 10)","0-1, 0-3, 1-2, 0-3, 2-3",0.08819250853248703,0.9045039442048456
3392,"(4, 2, 2, 10, 6)","0-3, 0-1, 0-1, 2-3, 1-2",0.08819250853450564,0.9045039441735959
1884,"(2, 7, 3, 7, 10)","0-1, 1-3, 0-2, 1-3, 2-3",0.08819250852986925,0.9045039441451382
5328,"(6, 7, 3, 10, 4)","1-2, 1-3, 0-2, 2-3, 0-3",0.08819250853116553,0.9045039440054765
4333,"(4, 10, 2, 6, 3)","0-3, 2-3, 0-1, 1-2, 0-2",0.08819250853699821,0.904503943973158
6141,"(7, 4, 6, 3, 4)","1-3, 0-3, 1-2, 0-2, 0-3",0.08819250853054689,0.9045039439695304
4347,"(4, 10, 2, 10, 6)","0-3, 2-3, 0-1, 2-3, 1-2",0.08819250852976371,0.9045039438889622
1908,"(2, 7, 4, 6, 10)","0-1, 1-3, 0-3, 1-2, 2-3",0.08819250853421914,0.9045039438735538
3524,"(4, 2, 10, 2, 6)","0-3, 0-1, 2-3, 0-1, 1-2",0.08819250852995136,0.9045039438720739
1386,"(2, 3, 7, 3, 4)","0-1, 0-2, 1-3, 0-2, 0-3",0.08819250853161904,0.9045039437596607
7134,"(10, 3, 7, 6, 3)","2-3, 0-2, 1-3, 1-2, 0-2",0.08819250853254815,0.9045039436971639
7272,"(10, 4, 6, 2, 7)","2-3, 0-3, 1-2, 0-1, 1-3",0.08819250853093674,0.9045039435430748
4153,"(4, 7, 3, 2, 3)","0-3, 1-3, 0-2, 0-1, 0-2",0.08819250853190955,0.9045039434501594
3712,"(4, 3, 7, 7, 10)","0-3, 0-2, 1-3, 1-3, 2-3",0.08819250852915442,0.9045039433684217
1400,"(2, 3, 7, 6, 7)","0-1, 0-2, 1-3, 1-2, 1-3",0.088192508784719,0.9045039433199348
6616,"(7, 10, 2, 10, 4)","1-3, 2-3, 0-1, 2-3, 0-3",0.08819250853032284,0.9045039433012463
7046,"(10, 3, 3, 7, 6)","2-3, 0-2, 0-2, 1-3, 1-2",0.08819250853411763,0.9045039432693159
2943,"(3, 6, 10, 4, 7)","0-2, 1-2, 2-3, 0-3, 1-3",0.08819250852951675,0.9045039432099333
3390,"(4, 2, 2, 10, 3)","0-3, 0-1, 0-1, 2-3, 0-2",0.0881925085302696,0.9045039431972646
7598,"(10, 7, 3, 3, 2)","2-3, 1-3, 0-2, 0-2, 0-1",0.08819250853090028,0.9045039431944657
6615,"(7, 10, 2, 10, 3)","1-3, 2-3, 0-1, 2-3, 0-2",0.08819250852921062,0.9045039431492174
5613,"(6, 10, 10, 2, 4)","1-2, 2-3, 2-3, 0-1, 0-3",0.0881925085309414,0.9045039431236911
2850,"(3, 6, 4, 6, 7)","0-2, 1-2, 0-3, 1-2, 1-3",0.0881925085293001,0.9045039430818075
2390,"(3, 2, 10, 2, 7)","0-2, 0-1, 2-3, 0-1, 1-3",0.08819250853363973,0.9045039430735643
2388,"(3, 2, 10, 2, 4)","0-2, 0-1, 2-3, 0-1, 0-3",0.08819250853113093,0.9045039430595045
1553,"(2, 4, 6, 4, 3)","0-1, 0-3, 1-2, 0-3, 0-2",0.088192508530145,0.9045039430402406
1767,"(2, 6, 7, 3, 10)","0-1, 1-2, 1-3, 0-2, 2-3",0.088192508534657,0.9045039430327472
1405,"(2, 3, 7, 7, 6)","0-1, 0-2, 1-3, 1-3, 1-2",0.08819250853098848,0.9045039429940301
7286,"(10, 4, 6, 6, 2)","2-3, 0-3, 1-2, 1-2, 0-1",0.08819250853406493,0.9045039429667566
1701,"(2, 6, 4, 3, 4)","0-1, 1-2, 0-3, 0-2, 0-3",0.08819250854024488,0.9045039429637007
7269,"(10, 4, 6, 2, 3)","2-3, 0-3, 1-2, 0-1, 0-2",0.08819250852917512,0.9045039429133318
4833,"(6, 3, 7, 7, 2)","1-2, 0-2, 1-3, 1-3, 0-1",0.08819250853282737,0.9045039428789732
4811,"(6, 3, 7, 2, 4)","1-2, 0-2, 1-3, 0-1, 0-3",0.08819250852918836,0.9045039428636834
6142,"(7, 4, 6, 3, 6)","1-3, 0-3, 1-2, 0-2, 1-2",0.08819250852977503,0.9045039428436007
7488,"(10, 6, 6, 4, 3)","2-3, 1-2, 1-2, 0-3, 0-2",0.0881925085290391,0.9045039427922418
3548,"(4, 2, 10, 7, 6)","0-3, 0-1, 2-3, 1-3, 1-2",0.08819250852963764,0.904503942791263
5453,"(6, 10, 2, 2, 7)","1-2, 2-3, 0-1, 0-1, 1-3",0.0881925085293582,0.9045039427893621
3212,"(3, 10, 2, 10, 6)","0-2, 2-3, 0-1, 2-3, 1-2",0.08819250852978687,0.9045039427885831
7270,"(10, 4, 6, 2, 4)","2-3, 0-3, 1-2, 0-1, 0-3",0.08819250852928882,0.9045039427731288
4658,"(6, 2, 10, 2, 4)","1-2, 0-1, 2-3, 0-1, 0-3",0.08819250853581409,0.9045039427565179
1305,"(2, 3, 3, 7, 4)","0-1, 0-2, 0-2, 1-3, 0-3",0.08819250852921415,0.9045039427457087
4257,"(4, 7, 7, 3, 6)","0-3, 1-3, 1-3, 0-2, 1-2",0.08819250853395338,0.904503942725645
6585,"(7, 10, 2, 2, 3)","1-3, 2-3, 0-1, 0-1, 0-2",0.088192508529883,0.9045039426836702
2687,"(3, 4, 6, 4, 2)","0-2, 0-3, 1-2, 0-3, 0-1",0.08819250852968863,0.9045039426702757
4348,"(4, 10, 2, 10, 7)","0-3, 2-3, 0-1, 2-3, 1-3",0.08819250853185763,0.9045039426561389
2258,"(3, 2, 2, 10, 7)","0-2, 0-1, 0-1, 2-3, 1-3",0.08819250853222911,0.9045039426533024
3203,"(3, 10, 2, 7, 2)","0-2, 2-3, 0-1, 1-3, 0-1",0.08819250852982348,0.9045039426353239
1740,"(2, 6, 6, 4, 10)","0-1, 1-2, 1-2, 0-3, 2-3",0.08819250852940097,0.9045039426127691
4480,"(4, 10, 10, 2, 7)","0-3, 2-3, 2-3, 0-1, 1-3",0.08819250853070415,0.9045039425910667
5401,"(6, 7, 7, 3, 2)","1-2, 1-3, 1-3, 0-2, 0-1",0.0881925085394862,0.9045039425744217
5823,"(7, 2, 10, 10, 4)","1-3, 0-1, 2-3, 2-3, 0-3",0.08819250852948296,0.9045039425508231
4186,"(4, 7, 3, 10, 7)","0-3, 1-3, 0-2, 2-3, 1-3",0.08819250852899088,0.9045039425393143
1739,"(2, 6, 6, 4, 7)","0-1, 1-2, 1-2, 0-3, 1-3",0.08819250852986824,0.904503942523554
6144,"(7, 4, 6, 3, 10)","1-3, 0-3, 1-2, 0-2, 2-3",0.08819250852952353,0.9045039425131183
1569,"(2, 4, 6, 7, 10)","0-1, 0-3, 1-2, 1-3, 2-3",0.08819250852927814,0.9045039425128286
5473,"(6, 10, 2, 7, 2)","1-2, 2-3, 0-1, 1-3, 0-1",0.088192508529292,0.904503942506561
1720,"(2, 6, 4, 7, 6)","0-1, 1-2, 0-3, 1-3, 1-2",0.08819250852940887,0.9045039424944167
6307,"(7, 6, 4, 2, 6)","1-3, 1-2, 0-3, 0-1, 1-2",0.08819250853001613,0.9045039424889938
4171,"(4, 7, 3, 6, 3)","0-3, 1-3, 0-2, 1-2, 0-2",0.08819250852917995,0.9045039424474913
1526,"(2, 4, 4, 6, 3)","0-1, 0-3, 0-3, 1-2, 0-2",0.08819250852929632,0.9045039424342333
2415,"(3, 2, 10, 7, 10)","0-2, 0-1, 2-3, 1-3, 2-3",0.08819250853112039,0.9045039424321119
4687,"(6, 2, 10, 10, 3)","1-2, 0-1, 2-3, 2-3, 0-2",0.08819250853068172,0.9045039424264572
4323,"(4, 10, 2, 3, 6)","0-3, 2-3, 0-1, 0-2, 1-2",0.08819250853039248,0.9045039424175391
7443,"(10, 6, 4, 2, 7)","2-3, 1-2, 0-3, 0-1, 1-3",0.08819250852900869,0.904503942412577
4822,"(6, 3, 7, 4, 3)","1-2, 0-2, 1-3, 0-3, 0-2",0.08819250853067903,0.9045039424110041
2875,"(3, 6, 6, 4, 10)","0-2, 1-2, 1-2, 0-3, 2-3",0.08819250852976263,0.9045039424100605
7118,"(10, 3, 7, 2, 6)","2-3, 0-2, 1-3, 0-1, 1-2",0.08819250852886575,0.9045039424016424
6151,"(7, 4, 6, 6, 2)","1-3, 0-3, 1-2, 1-2, 0-1",0.08819250853311486,0.9045039423822435
2698,"(3, 4, 6, 6, 10)","0-2, 0-3, 1-2, 1-2, 2-3",0.08819250852884106,0.9045039423671168
2855,"(3, 6, 4, 7, 6)","0-2, 1-2, 0-3, 1-3, 1-2",0.0881925085289701,0.9045039423568962
1863,"(2, 7, 3, 3, 4)","0-1, 1-3, 0-2, 0-2, 0-3",0.08819250852924299,0.9045039423322494
2410,"(3, 2, 10, 7, 2)","0-2, 0-1, 2-3, 1-3, 0-1",0.08819250852931095,0.9045039423274552
7257,"(10, 4, 4, 6, 7)","2-3, 0-3, 0-3, 1-2, 1-3",0.08819250852957852,0.90450394231282
7451,"(10, 6, 4, 4, 2)","2-3, 1-2, 0-3, 0-3, 0-1",0.08819250853026321,0.9045039423091272
3345,"(3, 10, 10, 2, 7)","0-2, 2-3, 2-3, 0-1, 1-3",0.08819250852932653,0.9045039423086413
2677,"(3, 4, 6, 2, 4)","0-2, 0-3, 1-2, 0-1, 0-3",0.08819250853019314,0.9045039423049122
7697,"(10, 7, 7, 3, 2)","2-3, 1-3, 1-3, 0-2, 0-1",0.08819250852962417,0.9045039423026646
4259,"(4, 7, 7, 3, 10)","0-3, 1-3, 1-3, 0-2, 2-3",0.08819250852906314,0.9045039423010869
4652,"(6, 2, 7, 10, 4)","1-2, 0-1, 1-3, 2-3, 0-3",0.0881925085292903,0.9045039422945402
1572,"(2, 4, 6, 10, 4)","0-1, 0-3, 1-2, 2-3, 0-3",0.08819250852948113,0.9045039422870759
2857,"(3, 6, 4, 7, 10)","0-2, 1-2, 0-3, 1-3, 2-3",0.08819250853111811,0.9045039422474326
3554,"(4, 2, 10, 10, 6)","0-3, 0-1, 2-3, 2-3, 1-2",0.08819250853033013,0.9045039422348811
3344,"(3, 10, 10, 2, 6)","0-2, 2-3, 2-3, 0-1, 1-2",0.0881925085291489,0.9045039422095026
2851,"(3, 6, 4, 6, 10)","0-2, 1-2, 0-3, 1-2, 2-3",0.08819250852956946,0.9045039422016228
1960,"(2, 7, 7, 3, 6)","0-1, 1-3, 1-3, 0-2, 1-2",0.08819250853061339,0.9045039421948575
6590,"(7, 10, 2, 3, 2)","1-3, 2-3, 0-1, 0-2, 0-1",0.08819250852990504,0.9045039421935754
4528,"(6, 2, 2, 10, 7)","1-2, 0-1, 0-1, 2-3, 1-3",0.08819250852947434,0.9045039421861484
3191,"(3, 10, 2, 4, 2)","0-2, 2-3, 0-1, 0-3, 0-1",0.08819250853159413,0.9045039421808448
7594,"(10, 7, 3, 2, 4)","2-3, 1-3, 0-2, 0-1, 0-3",0.0881925085289945,0.9045039421791556
4668,"(6, 2, 10, 4, 2)","1-2, 0-1, 2-3, 0-3, 0-1",0.088192508529921,0.9045039421651143
7271,"(10, 4, 6, 2, 6)","2-3, 0-3, 1-2, 0-1, 1-2",0.08819250852904628,0.904503942133256
4181,"(4, 7, 3, 7, 10)","0-3, 1-3, 0-2, 1-3, 2-3",0.08819250853207013,0.9045039420861838
7284,"(10, 4, 6, 4, 7)","2-3, 0-3, 1-2, 0-3, 1-3",0.08819250852885391,0.9045039420734041
1530,"(2, 4, 4, 6, 10)","0-1, 0-3, 0-3, 1-2, 2-3",0.0881925085332335,0.9045039420667751
7043,"(10, 3, 3, 7, 2)","2-3, 0-2, 0-2, 1-3, 0-1",0.08819250852936303,0.9045039420580635
6093,"(7, 4, 3, 6, 10)","1-3, 0-3, 0-2, 1-2, 2-3",0.08819250852883824,0.9045039420207841
4332,"(4, 10, 2, 6, 2)","0-3, 2-3, 0-1, 1-2, 0-1",0.08819250853250044,0.9045039420109823
1567,"(2, 4, 6, 7, 6)","0-1, 0-3, 1-2, 1-3, 1-2",0.0881925085290794,0.9045039420090066
4170,"(4, 7, 3, 6, 2)","0-3, 1-3, 0-2, 1-2, 0-1",0.08819250852949859,0.9045039420040232
5799,"(7, 2, 10, 3, 4)","1-3, 0-1, 2-3, 0-2, 0-3",0.08819250852898416,0.9045039419817245
3539,"(4, 2, 10, 6, 2)","0-3, 0-1, 2-3, 1-2, 0-1",0.08819250853046623,0.9045039419782882
1562,"(2, 4, 6, 6, 7)","0-1, 0-3, 1-2, 1-2, 1-3",0.08819250852907616,0.9045039419373495
1882,"(2, 7, 3, 7, 6)","0-1, 1-3, 0-2, 1-3, 1-2",0.0881925085310219,0.904503941928402
7139,"(10, 3, 7, 7, 2)","2-3, 0-2, 1-3, 1-3, 0-1",0.0881925085299799,0.9045039419270893
6150,"(7, 4, 6, 4, 10)","1-3, 0-3, 1-2, 0-3, 2-3",0.08819250853137102,0.9045039419082399
3611,"(4, 3, 3, 7, 2)","0-3, 0-2, 0-2, 1-3, 0-1",0.0881925085315046,0.904503941875554
4315,"(4, 10, 2, 2, 3)","0-3, 2-3, 0-1, 0-1, 0-2",0.08819250853351962,0.9045039418584121
5309,"(6, 7, 3, 4, 3)","1-2, 1-3, 0-2, 0-3, 0-2",0.08819251039769996,0.9045039418486722
5465,"(6, 10, 2, 4, 7)","1-2, 2-3, 0-1, 0-3, 1-3",0.08819250852944083,0.9045039418258715
4739,"(6, 3, 3, 7, 10)","1-2, 0-2, 0-2, 1-3, 2-3",0.08819250853021358,0.9045039418207379
1389,"(2, 3, 7, 3, 10)","0-1, 0-2, 1-3, 0-2, 2-3",0.08819250852919483,0.9045039418096245
7448,"(10, 6, 4, 3, 6)","2-3, 1-2, 0-3, 0-2, 1-2",0.0881925085290745,0.9045039418087666
4660,"(6, 2, 10, 2, 7)","1-2, 0-1, 2-3, 0-1, 1-3",0.08819250852995168,0.9045039417983749
7287,"(10, 4, 6, 6, 3)","2-3, 0-3, 1-2, 1-2, 0-2",0.08819250853003813,0.9045039417855872
4161,"(4, 7, 3, 3, 6)","0-3, 1-3, 0-2, 0-2, 1-2",0.0881925085298516,0.9045039417708265
6321,"(7, 6, 4, 4, 10)","1-3, 1-2, 0-3, 0-3, 2-3",0.08819250852926212,0.9045039417493059
5792,"(7, 2, 10, 2, 3)","1-3, 0-1, 2-3, 0-1, 0-2",0.08819250852958126,0.90450394174703
2844,"(3, 6, 4, 4, 7)","0-2, 1-2, 0-3, 0-3, 1-3",0.08819250853024509,0.9045039417329965
4179,"(4, 7, 3, 7, 6)","0-3, 1-3, 0-2, 1-3, 1-2",0.08819250853106485,0.9045039417263518
4825,"(6, 3, 7, 4, 7)","1-2, 0-2, 1-3, 0-3, 1-3",0.08819250852995407,0.9045039417039612
1706,"(2, 6, 4, 4, 3)","0-1, 1-2, 0-3, 0-3, 0-2",0.08819250852971479,0.904503941633584
7618,"(10, 7, 3, 7, 4)","2-3, 1-3, 0-2, 1-3, 0-3",0.08819250853021932,0.9045039416085254
4341,"(4, 10, 2, 7, 6)","0-3, 2-3, 0-1, 1-3, 1-2",0.08819250853284114,0.9045039415958173
3684,"(4, 3, 7, 2, 3)","0-3, 0-2, 1-3, 0-1, 0-2",0.08819250852935397,0.9045039415620758
1872,"(2, 7, 3, 4, 10)","0-1, 1-3, 0-2, 0-3, 2-3",0.08819250852929075,0.904503941543276
1407,"(2, 3, 7, 7, 10)","0-1, 0-2, 1-3, 1-3, 2-3",0.0881925085316413,0.904503941537188
5304,"(6, 7, 3, 3, 4)","1-2, 1-3, 0-2, 0-2, 0-3",0.08819250853022036,0.9045039415124179
7616,"(10, 7, 3, 7, 2)","2-3, 1-3, 0-2, 1-3, 0-1",0.08819250853061185,0.9045039415048303
1409,"(2, 3, 7, 10, 3)","0-1, 0-2, 1-3, 2-3, 0-2",0.08819250852913525,0.9045039414988418
6152,"(7, 4, 6, 6, 3)","1-3, 0-3, 1-2, 1-2, 0-2",0.0881925085294032,0.9045039414386483
5809,"(7, 2, 10, 6, 2)","1-3, 0-1, 2-3, 1-2, 0-1",0.08819250853197073,0.9045039413690712
4155,"(4, 7, 3, 2, 6)","0-3, 1-3, 0-2, 0-1, 1-2",0.08819250852933558,0.904503941338282
4817,"(6, 3, 7, 3, 4)","1-2, 0-2, 1-3, 0-2, 0-3",0.08819250853291073,0.9045039413320939
5320,"(6, 7, 3, 7, 2)","1-2, 1-3, 0-2, 1-3, 0-1",0.08819250853277127,0.9045039412847484
3555,"(4, 2, 10, 10, 7)","0-3, 0-1, 2-3, 2-3, 1-3",0.08819250852902179,0.9045039412129878
2840,"(3, 6, 4, 4, 2)","0-2, 1-2, 0-3, 0-3, 0-1",0.08819250853063557,0.9045039412095668
3614,"(4, 3, 3, 7, 6)","0-3, 0-2, 0-2, 1-3, 1-2",0.0881925085308051,0.9045039412046679
6748,"(7, 10, 10, 2, 4)","1-3, 2-3, 2-3, 0-1, 0-3",0.08819250853293469,0.9045039411674085
5794,"(7, 2, 10, 2, 6)","1-3, 0-1, 2-3, 0-1, 1-2",0.0881925085334494,0.9045039411610343
5822,"(7, 2, 10, 10, 3)","1-3, 0-1, 2-3, 2-3, 0-2",0.08819250852927199,0.9045039410852109
5612,"(6, 10, 10, 2, 3)","1-2, 2-3, 2-3, 0-1, 0-2",0.08819250853487143,0.9045039410848988
2402,"(3, 2, 10, 4, 7)","0-2, 0-1, 2-3, 0-3, 1-3",0.08819250853083088,0.9045039410528546
2420,"(3, 2, 10, 10, 7)","0-2, 0-1, 2-3, 2-3, 1-3",0.08819250853313575,0.9045039410232948
6747,"(7, 10, 10, 2, 3)","1-3, 2-3, 2-3, 0-1, 0-2",0.08819250852957213,0.9045039409899653
1866,"(2, 7, 3, 3, 10)","0-1, 1-3, 0-2, 0-2, 2-3",0.08819250853038556,0.9045039409386448
2862,"(3, 6, 4, 10, 7)","0-2, 1-2, 0-3, 2-3, 1-3",0.08819250853065502,0.9045039409091903
6587,"(7, 10, 2, 2, 6)","1-3, 2-3, 0-1, 0-1, 1-2",0.08819250853150115,0.9045039408600742
4736,"(6, 3, 3, 7, 4)","1-2, 0-2, 0-2, 1-3, 0-3",0.08819250855725067,0.9045039407389636
2660,"(3, 4, 4, 6, 2)","0-2, 0-3, 0-3, 1-2, 0-1",0.08819250853240104,0.9045039406658126
3183,"(3, 10, 2, 2, 7)","0-2, 2-3, 0-1, 0-1, 1-3",0.08819250853073055,0.9045039406083246
2874,"(3, 6, 6, 4, 7)","0-2, 1-2, 1-2, 0-3, 1-3",0.08819250853499526,0.9045039406079795
5460,"(6, 10, 2, 3, 10)","1-2, 2-3, 0-1, 0-2, 2-3",0.08819250853055363,0.904503940543161
7440,"(10, 6, 4, 2, 3)","2-3, 1-2, 0-3, 0-1, 0-2",0.08819250853115394,0.9045039404985341
4664,"(6, 2, 10, 3, 4)","1-2, 0-1, 2-3, 0-2, 0-3",0.08819250853132136,0.9045039404213302
7280,"(10, 4, 6, 4, 2)","2-3, 0-3, 1-2, 0-3, 0-1",0.08819250853408264,0.9045039404081838
2419,"(3, 2, 10, 10, 6)","0-2, 0-1, 2-3, 2-3, 1-2",0.08819250853207466,0.9045039403805153
3705,"(4, 3, 7, 6, 7)","0-3, 0-2, 1-3, 1-2, 1-3",0.08819250853047529,0.9045039402760909
3701,"(4, 3, 7, 6, 2)","0-3, 0-2, 1-3, 1-2, 0-1",0.08819250853095098,0.9045039402119803
1962,"(2, 7, 7, 3, 10)","0-1, 1-3, 1-3, 0-2, 2-3",0.08819250853246678,0.9045039401873953
3706,"(4, 3, 7, 6, 10)","0-3, 0-2, 1-3, 1-2, 2-3",0.0881925085328962,0.904503940027932
1308,"(2, 3, 3, 7, 10)","0-1, 0-2, 0-2, 1-3, 2-3",0.08819250853394164,0.904503940020898
4835,"(6, 3, 7, 7, 4)","1-2, 0-2, 1-3, 1-3, 0-3",0.0881925085312731,0.9045039399089739
3213,"(3, 10, 2, 10, 7)","0-2, 2-3, 0-1, 2-3, 1-3",0.08819250853285578,0.9045039398868261
1686,"(2, 6, 3, 7, 10)","0-1, 1-2, 0-2, 1-3, 2-3",0.08819250853689498,0.904503939860456
5466,"(6, 10, 2, 4, 10)","1-2, 2-3, 0-1, 0-3, 2-3",0.08819250853182868,0.9045039397918895
4317,"(4, 10, 2, 2, 6)","0-3, 2-3, 0-1, 0-1, 1-2",0.08819250853303778,0.9045039395595966
1563,"(2, 4, 6, 6, 10)","0-1, 0-3, 1-2, 1-2, 2-3",0.08819250852972314,0.9045039394743766
6123,"(7, 4, 4, 6, 10)","1-3, 0-3, 0-3, 1-2, 2-3",0.0881925085337284,0.9045039394024657
7457,"(10, 6, 4, 6, 2)","2-3, 1-2, 0-3, 1-2, 0-1",0.0881925173277063,0.9045039379529805
6317,"(7, 6, 4, 4, 3)","1-3, 1-2, 0-3, 0-3, 0-2",0.08819250854165749,0.9045039374954311
7699,"(10, 7, 7, 3, 4)","2-3, 1-3, 1-3, 0-2, 0-3",0.08819250854181919,0.9045039369178206
5660,"(7, 2, 2, 10, 3)","1-3, 0-1, 0-1, 2-3, 0-2",0.08819252055567033,0.9045039304756785
4565,"(6, 2, 4, 3, 4)","1-2, 0-1, 0-3, 0-2, 0-3",0.08853369500878192,0.9044919080229498
1689,"(2, 6, 3, 10, 4)","0-1, 1-2, 0-2, 2-3, 0-3",0.08853369500988695,0.9044919044510442
1375,"(2, 3, 6, 10, 6)","0-1, 0-2, 1-2, 2-3, 1-2",0.08853369500910349,0.9044919035294348
2343,"(3, 2, 6, 7, 10)","0-2, 0-1, 1-2, 1-3, 2-3",0.0885336951643389,0.9044919014036348
7574,"(10, 7, 2, 6, 2)","2-3, 1-3, 0-1, 1-2, 0-1",0.08853369500793154,0.9044919004817878
4750,"(6, 3, 4, 2, 7)","1-2, 0-2, 0-3, 0-1, 1-3",0.08853369500701752,0.9044919001541724
5547,"(6, 10, 4, 7, 4)","1-2, 2-3, 0-3, 1-3, 0-3",0.0885336950081875,0.9044918991018801
4672,"(6, 2, 10, 4, 7)","1-2, 0-1, 2-3, 0-3, 1-3",0.0877540501181904,0.9044891719234361
5797,"(7, 2, 10, 3, 2)","1-3, 0-1, 2-3, 0-2, 0-1",0.08775405012187734,0.9044891702047557
2854,"(3, 6, 4, 7, 4)","0-2, 1-2, 0-3, 1-3, 0-3",0.08775405011623093,0.9044891701546357
7383,"(10, 6, 2, 4, 7)","2-3, 1-2, 0-1, 0-3, 1-3",0.08775405011533605,0.90448916976022
1889,"(2, 7, 3, 10, 7)","0-1, 1-3, 0-2, 2-3, 1-3",0.08775405011875435,0.9044891687821419
5462,"(6, 10, 2, 4, 3)","1-2, 2-3, 0-1, 0-3, 0-2",0.08775405011508296,0.90448916840674
6592,"(7, 10, 2, 3, 4)","1-3, 2-3, 0-1, 0-2, 0-3",0.08775405011614887,0.9044891677398065
1573,"(2, 4, 6, 10, 6)","0-1, 0-3, 1-2, 2-3, 1-2",0.08775405011990464,0.9044891672201791
6281,"(7, 6, 3, 4, 3)","1-3, 1-2, 0-2, 0-3, 0-2",0.08775405011489402,0.9044891669776305
5697,"(7, 2, 3, 10, 4)","1-3, 0-1, 0-2, 2-3, 0-3",0.08775405011555923,0.904489166804854
1727,"(2, 6, 4, 10, 7)","0-1, 1-2, 0-3, 2-3, 1-3",0.0877540501151185,0.9044891659141773
5313,"(6, 7, 3, 4, 10)","1-2, 1-3, 0-2, 0-3, 2-3",0.08775405011908251,0.9044891658931318
6315,"(7, 6, 4, 3, 10)","1-3, 1-2, 0-3, 0-2, 2-3",0.0877540501152434,0.9044891647639052
4337,"(4, 10, 2, 6, 10)","0-3, 2-3, 0-1, 1-2, 2-3",0.08775405011600258,0.9044891643581936
3208,"(3, 10, 2, 7, 10)","0-2, 2-3, 0-1, 1-3, 2-3",0.08775405011648832,0.9044891620145704
7027,"(10, 3, 3, 2, 4)","2-3, 0-2, 0-2, 0-1, 0-3",0.08894913174580502,0.9044879261535294
2244,"(3, 2, 2, 4, 10)","0-2, 0-1, 0-1, 0-3, 2-3",0.08694386579093732,0.904470217157687
1497,"(2, 4, 3, 6, 4)","0-1, 0-3, 0-2, 1-2, 0-3",0.08694386579141133,0.9044702135328311
6136,"(7, 4, 6, 2, 6)","1-3, 0-3, 1-2, 0-1, 1-2",0.08694386579089143,0.904470212413102
3425,"(4, 2, 3, 10, 2)","0-3, 0-1, 0-2, 2-3, 0-1",0.08694386578880053,0.9044702121233243
5810,"(7, 2, 10, 6, 3)","1-3, 0-1, 2-3, 1-2, 0-2",0.08694386578743532,0.9044702117118784
2942,"(3, 6, 10, 4, 6)","0-2, 1-2, 2-3, 0-3, 1-2",0.08694386578802568,0.9044702114917997
4680,"(6, 2, 10, 7, 2)","1-2, 0-1, 2-3, 1-3, 0-1",0.08694386578862735,0.9044702110340271
7638,"(10, 7, 4, 3, 7)","2-3, 1-3, 0-3, 0-2, 1-3",0.08694386578814213,0.9044702102367018
4225,"(4, 7, 6, 3, 7)","0-3, 1-3, 1-2, 0-2, 1-3",0.0869438657928381,0.9044702093772932
5300,"(6, 7, 3, 2, 7)","1-2, 1-3, 0-2, 0-1, 1-3",0.08694386578771916,0.904470209089361
1878,"(2, 7, 3, 6, 10)","0-1, 1-3, 0-2, 1-2, 2-3",0.08694386578890004,0.9044702084336818
7653,"(10, 7, 4, 7, 3)","2-3, 1-3, 0-3, 1-3, 0-2",0.08694386578790754,0.9044702083079672
2006,"(2, 7, 10, 7, 3)","0-1, 1-3, 2-3, 1-3, 0-2",0.08694386578609947,0.9044702077729398
7292,"(10, 4, 6, 7, 2)","2-3, 0-3, 1-2, 1-3, 0-1",0.08694386578625922,0.9044702073418701
4870,"(6, 3, 10, 7, 3)","1-2, 0-2, 2-3, 1-3, 0-2",0.08694386578807707,0.9044702072164157
6085,"(7, 4, 3, 4, 6)","1-3, 0-3, 0-2, 0-3, 1-2",0.08694386578635024,0.9044702072160011
7418,"(10, 6, 3, 4, 6)","2-3, 1-2, 0-2, 0-3, 1-2",0.08694386578634977,0.9044702070338773
7465,"(10, 6, 4, 7, 4)","2-3, 1-2, 0-3, 1-3, 0-3",0.08694386578939862,0.9044702070279995
3310,"(3, 10, 7, 2, 10)","0-2, 2-3, 1-3, 0-1, 2-3",0.08694386578920839,0.9044702068786578
2347,"(3, 2, 6, 10, 6)","0-2, 0-1, 1-2, 2-3, 1-2",0.08694386578616205,0.904470206729485
6650,"(7, 10, 3, 10, 2)","1-3, 2-3, 0-2, 2-3, 0-1",0.08694386578625038,0.9044702067092276
