,sequence,verbose,loss,fid
2039,"(2, 10, 2, 6, 7)","0-1, 2-3, 0-1, 1-2, 1-3",1.7780613743360714e-13,0.9999999999998225
2108,"(2, 10, 4, 6, 3)","0-1, 2-3, 0-3, 1-2, 0-2",1.7848984280039006e-13,0.9999999999998218
2519,"(3, 3, 6, 10, 6)","0-2, 0-2, 1-2, 2-3, 1-2",1.7863522560431817e-13,0.9999999999998217
4436,"(4, 10, 6, 10, 4)","0-3, 2-3, 1-2, 2-3, 0-3",1.8034092061058135e-13,0.9999999999998199
1469,"(2, 4, 2, 7, 6)","0-1, 0-3, 0-1, 1-3, 1-2",1.8365464772450418e-13,0.9999999999998166
1466,"(2, 4, 2, 6, 7)","0-1, 0-3, 0-1, 1-2, 1-3",1.8688989459120554e-13,0.9999999999998139
2172,"(2, 10, 7, 3, 10)","0-1, 2-3, 1-3, 0-2, 2-3",1.857635270579268e-13,0.9999999999998138
3931,"(4, 6, 2, 6, 7)","0-3, 1-2, 0-1, 1-2, 1-3",1.873357423375529e-13,0.9999999999998124
7545,"(10, 6, 10, 4, 7)","2-3, 1-2, 2-3, 0-3, 1-3",1.8862058519280596e-13,0.9999999999998112
2200,"(2, 10, 10, 2, 6)","0-1, 2-3, 2-3, 0-1, 1-2",1.8938011494518672e-13,0.9999999999998108
6912,"(10, 2, 6, 10, 3)","2-3, 0-1, 1-2, 2-3, 0-2",1.8989135350452468e-13,0.9999999999998105
3120,"(3, 7, 7, 4, 3)","0-2, 1-3, 1-3, 0-3, 0-2",1.893704652532302e-13,0.9999999999998104
1274,"(2, 3, 2, 6, 7)","0-1, 0-2, 0-1, 1-2, 1-3",1.915799797885657e-13,0.9999999999998086
4594,"(6, 2, 6, 2, 7)","1-2, 0-1, 1-2, 0-1, 1-3",1.9386405930249378e-13,0.9999999999998059
3979,"(4, 6, 3, 10, 7)","0-3, 1-2, 0-2, 2-3, 1-3",1.9534475199463919e-13,0.9999999999998045
6965,"(10, 2, 10, 4, 2)","2-3, 0-1, 2-3, 0-3, 0-1",1.9580889151272284e-13,0.9999999999998044
4403,"(4, 10, 4, 10, 7)","0-3, 2-3, 0-3, 2-3, 1-3",1.9752028661001365e-13,0.9999999999998024
3947,"(4, 6, 3, 2, 4)","0-3, 1-2, 0-2, 0-1, 0-3",1.9685042300079857e-13,0.9999999999998024
4090,"(4, 6, 10, 2, 3)","0-3, 1-2, 2-3, 0-1, 0-2",1.9869252194992914e-13,0.999999999999801
5076,"(6, 4, 10, 4, 6)","1-2, 0-3, 2-3, 0-3, 1-2",1.9952257663861646e-13,0.9999999999998006
6582,"(7, 7, 10, 10, 3)","1-3, 1-3, 2-3, 2-3, 0-2",2.008902557644233e-13,0.999999999999799
5765,"(7, 2, 7, 2, 6)","1-3, 0-1, 1-3, 0-1, 1-2",2.009347895262647e-13,0.9999999999997989
2297,"(3, 2, 4, 3, 7)","0-2, 0-1, 0-3, 0-2, 1-3",2.0183727831146937e-13,0.9999999999997982
4029,"(4, 6, 6, 4, 2)","0-3, 1-2, 1-2, 0-3, 0-1",2.0542759186304185e-13,0.9999999999997944
6074,"(7, 4, 3, 2, 7)","1-3, 0-3, 0-2, 0-1, 1-3",2.0969627698837425e-13,0.9999999999997905
6422,"(7, 7, 2, 2, 6)","1-3, 1-3, 0-1, 0-1, 1-2",2.1073686593949347e-13,0.9999999999997895
7533,"(10, 6, 10, 2, 7)","2-3, 1-2, 2-3, 0-1, 1-3",2.1297786218577479e-13,0.9999999999997868
3126,"(3, 7, 7, 6, 3)","0-2, 1-3, 1-3, 1-2, 0-2",2.1521069192078398e-13,0.9999999999997848
3874,"(4, 4, 7, 7, 6)","0-3, 0-3, 1-3, 1-3, 1-2",2.2233118485566002e-13,0.9999999999997774
5885,"(7, 3, 3, 6, 7)","1-3, 0-2, 0-2, 1-2, 1-3",2.2177447547800304e-13,0.9999999999997774
