N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho
12.0,0.6270331453475666,0.4275705665830276,0.6452162090185523,0.8244029481432673,0.7223141912144133,0.8485668917692845,0.8257443097591545,0.7245997976004537,0.8500914073481842,0.9712602628513086,0.9999999999999989,12.0,12.0,12.0,12.0
12.0,0.6417052935089157,0.43714232455270546,0.6524979568716275,0.841109178091296,0.7364102836974055,0.8568662404807915,0.8413071187872174,0.7367210383664429,0.857157435700074,0.9807734796444464,1.0000000000000004,12.0,12.0,12.0,12.0
12.0,0.6370051807387008,0.4290276421054898,0.645819158050753,0.8360220668101861,0.7205004806918436,0.8475338098718266,0.8357475908365968,0.7198699648943199,0.8473209299243617,0.9864567197134197,0.9999999999999998,12.0,12.0,12.0,12.0
12.0,0.6348664307140593,0.4325894398087108,0.6486531251653552,0.8302755917309903,0.7234979039782046,0.8493774555115504,0.8304510390272559,0.7237410196735461,0.8496490503760499,0.9773534216248192,0.999999999999998,12.0,12.0,12.0,12.0
12.0,0.6279815873344117,0.4305473311444983,0.6467421934174147,0.8259309853417112,0.7257005326003312,0.8506690253238586,0.8261366823037501,0.7259170215119412,0.8509370349831061,0.9706448659954193,1.0000000000000009,12.0,12.0,12.0,12.0
12.0,0.6399336590219278,0.428288188848041,0.6459378384501255,0.8412429191736608,0.7232439087996081,0.8491815407655239,0.8412304110322686,0.7228522978523211,0.8490563929037043,0.9907902342687919,0.9999999999999984,12.0,12.0,12.0,12.0
12.0,0.629052197330844,0.4169509611169352,0.6370160368343938,0.8369804542010499,0.7203300537447522,0.8475522290138076,0.8361145007206161,0.7188724155579713,0.8467799299687402,0.9874587753259001,1.0000000000000004,12.0,12.0,12.0,12.0
12.0,0.6405223749258748,0.44305946164340826,0.6563973630666133,0.8384695839478481,0.7400599205232979,0.8589967785276192,0.8391069323005457,0.741283279700446,0.8598165720530561,0.9758159313830025,0.9999999999999982,12.0,12.0,12.0,12.0
12.0,0.6263502633326832,0.417493586074202,0.637782059402872,0.83202529030202,0.71982570331776,0.8471584553330654,0.832456379677494,0.720527575734073,0.8477384485928324,0.9820030185067301,1.0000000000000018,12.0,12.0,12.0,12.0
12.0,0.6353578059230327,0.42019638644461277,0.6397364006770765,0.8415477358570047,0.7202395967292939,0.8474379261956939,0.841334824374323,0.7196520985884858,0.847213366083817,0.9930468135005016,1.0000000000000004,12.0,12.0,12.0,12.0
