N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,sequence
10.0,0.4012844191291473,0.188152570817116,0.4095948350464115,0.5622048300944811,0.3423864797897247,0.5750685303756913,0.5373570058815779,0.3148186203370511,0.549833581804168,0.9763419886324929,0.9999999999999996,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.38537685691088774,0.17119169715038324,0.39011413707481174,0.5574271523226569,0.3293543282839886,0.5648024516434833,0.5804594050300491,0.3550729389584906,0.5882275143847657,0.9863545622526897,1.0000000000000002,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.4046641549803128,0.1901954144911847,0.41313965750668563,0.5635580755265852,0.3427344986376409,0.5758311334141939,0.5479541284203031,0.3249783754699199,0.5602678606174232,0.9776131163382507,0.9999999999999993,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 2-0, 0-1, 4-1, 0-1, 0-3, 2-0"
10.0,0.37538169561735146,0.16954540455555514,0.3870908165760985,0.54245591653503,0.32392254951870747,0.5591794661335545,0.5549382804723866,0.3370116260514613,0.572158373634474,0.9696326854141448,0.9999999999999987,10.0,10.0,10.0,10.0,"4-1, 1-0, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.4083276774039526,0.19026509406351808,0.41255650081688844,0.5827633043901137,0.3578267038030794,0.5886095821012823,0.5567020528451774,0.32840851418573297,0.5623334072875287,0.9898918016125735,1.0000000000000013,10.0,10.0,10.0,10.0,"2-0, 2-0, 0-1, 0-3, 0-1, 2-0, 4-1, 1-0, 2-0, 3-0"
10.0,0.38025644818103727,0.17142088689133927,0.3892966848870453,0.5439636394217533,0.3223977940272781,0.5578483223796712,0.5352952427382371,0.31166462699659836,0.5485301321963357,0.974554440423454,0.9999999999999989,10.0,10.0,10.0,10.0,"4-1, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 2-0, 3-0"
10.0,0.38323515455320256,0.16906160137009973,0.3875478838365896,0.553002946576927,0.32423168687218146,0.5601114041791792,0.5785265390860925,0.3518573495225412,0.5858079138621822,0.9871453404363677,0.9999999999999999,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.38397698827793736,0.1738962368963104,0.39220262589571975,0.5547493756425572,0.33094358458596057,0.5656616803897472,0.5339320830128966,0.3073294203097079,0.5444325479887158,0.9808441935396702,1.0000000000000004,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 2-0, 3-0"
10.0,0.4038679923037662,0.1867813903094495,0.40854342674643995,0.573676690190652,0.34915215022910917,0.5808366403127692,0.5630519312564759,0.3366432804977255,0.5701003278953736,0.9873828420696582,0.9999999999999966,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 1-0, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.3942679519368087,0.18422824740069216,0.40337384623412953,0.5592366141544975,0.34169590643110825,0.5739239544612237,0.5815413995451004,0.36683054104799967,0.5973250608302382,0.9723126939353302,0.9999999999999987,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.39989578483450916,0.18418046695685822,0.4054096699448314,0.5691743380077996,0.3444428423155603,0.5772939609987109,0.5487229478142122,0.3218057806098051,0.5566608309000576,0.9844072446426609,0.9999999999999996,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.40316212345637864,0.18862504245450085,0.4086822019152363,0.5711470116005816,0.34852211971766833,0.5799322885584266,0.5544207412996065,0.3288168287205344,0.5627190613523823,0.9850409189023768,1.0000000000000024,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.3945913366292324,0.18102426311756914,0.4002075693071888,0.5683265998839722,0.34361451894760653,0.5762799895056683,0.5473751210909825,0.31979838333306476,0.5551992073637215,0.9848792692356855,0.9999999999999991,10.0,10.0,10.0,10.0,"2-0, 2-0, 0-1, 0-3, 1-0, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.3811900876710397,0.1798283611208061,0.39960187900756894,0.5595102752346361,0.35571815836017334,0.5859386279015601,0.5723141703759405,0.37011592258486853,0.6003615256896417,0.9524271852852723,0.999999999999998,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 1-0, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.3986066173549875,0.18337052903753173,0.4035937932708129,0.5631974643586559,0.33704757959507725,0.5706577588612758,0.5857328949823999,0.3616634350030259,0.5934169846561583,0.9869393408274743,1.0000000000000013,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.3813017139687534,0.17104181053481027,0.3890884459020567,0.5553934926374144,0.3330830733876126,0.5672898020731316,0.5357130266725719,0.3107339317435308,0.5470780780517748,0.9775679651411074,1.0000000000000013,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 1-0, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.38128841135809444,0.17255138095093955,0.391288553958446,0.5548823757640761,0.3339370498032447,0.5683668431883544,0.5397568592909743,0.3159785035450726,0.5528348675181811,0.9771840409435255,1.0000000000000002,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 2-0, 3-0"
