N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho
3.0,0.5638419233300128,0.5811296862905242,0.7554688305902417,0.7101041859196988,0.9059974700713093,0.9514512305114862,0.7129752255259553,0.909881053350672,0.9535462552462213,0.7477970795613063,0.9999999999999998,3.0,3.0,3.0,3.0
3.0,0.44451984267710437,0.6367513897389026,0.7920704232021528,0.5373239080689981,0.933287787528468,0.965874785271044,0.5395374899517636,0.9403809232397712,0.9695906814681267,0.555743900950648,1.0000000000000009,3.0,3.0,3.0,3.0
3.0,0.615879693232136,0.582637569717323,0.7550253442165684,0.7748252254120095,0.908585285986754,0.9528041863102437,0.7756817410444052,0.9098758557939778,0.9535007087523113,0.8132241969998987,1.0,3.0,3.0,3.0,3.0
3.0,0.5963960735837899,0.6070728310279452,0.7719033073065142,0.7417592119855579,0.9180331142515012,0.9578629227311531,0.7420931911580742,0.9171234481689778,0.9574165036518493,0.7749568948504055,1.0000000000000004,3.0,3.0,3.0,3.0
3.0,0.5198254042838721,0.5919224637558094,0.7621303221352439,0.6483080345734651,0.9126889051249413,0.9550571513131227,0.6451528584299953,0.9041156558032438,0.9505151716789273,0.6786323892174557,1.0000000000000004,3.0,3.0,3.0,3.0
3.0,0.6808752279241937,0.5717659444050222,0.7482947962319431,0.8628391004182197,0.9013682588665931,0.9490869309078436,0.8632813277101241,0.9026129208685945,0.9498108097703668,0.9088498591936524,0.999999999999999,3.0,3.0,3.0,3.0
3.0,0.47381573683121164,0.6055235528529508,0.7698484791981102,0.5920627400423609,0.9211932331735367,0.9595257009762588,0.589089806976731,0.9149668060263323,0.9562779617847215,0.6168342204873158,0.9999999999999984,3.0,3.0,3.0,3.0
3.0,0.539908777254726,0.6024925573511504,0.7683370329104238,0.675421117340723,0.9276672366801386,0.9628812211252136,0.67527193388868,0.9266989392250904,0.9624447782720514,0.7012434995936419,1.0000000000000013,3.0,3.0,3.0,3.0
3.0,0.5395876732156674,0.6157051579724602,0.7770559169524957,0.6614001336926838,0.9139031166854789,0.9556085059074106,0.6638608133626698,0.921411117848627,0.959586847019845,0.6919233897108465,0.9999999999999997,3.0,3.0,3.0,3.0
3.0,0.6851047255719347,0.5909592557826162,0.7612805606835306,0.8557945093288778,0.9053335905499851,0.9511868726141075,0.8548649546051226,0.9038729338024929,0.9504751380470685,0.8991910095634763,1.000000000000001,3.0,3.0,3.0,3.0
